分类,单词,中文,例句
代词, I, 我, I love reading books.
代词, you, 你/您,"Can you pass me the salt, please?"
代词, he, 他, He is coming to the party tonight.
代词, she, 她, She is my best friend.
代词, it, 它/这, The cat is sleeping; it looks so peaceful.
代词, we, 我们, We are going to the beach this weekend.
代词, they, 他们/她们/它们, They always play football after school.
代词, me, 我, Call me when you get home.
代词, you, 你/您, I'll see you at the meeting tomorrow.
代词, him, 他, I saw him at the grocery store.
代词, her, 她, I gave her the book you recommended.
代词, it, 它/这, The baby is so cute; it's smiling at me.
代词, us, 我们, Can you join us for dinner tonight?
代词, them, 他们/她们/它们, I met them at the park last weekend.
代词, myself, 我自己, I'll do it myself; you don't need to help.
代词, yourself, 你自己/您自己, Help yourself to some cookies.
代词, himself, 他自己, He built the bookshelf himself.
代词, herself, 她自己, She dressed herself for the party.
代词, itself, 它自己, The cat groomed itself for hours.
代词, ourselves, 我们自己, We painted the room ourselves.
代词, yourselves, 你们自己/您们自己, Enjoy yourselves at the party.
代词, themselves, 他们自己/她们自己/它们自己, They decorated the classroom themselves.
代词, this, 这, This is my favorite movie.
代词, that, 那, Can you pass me that pen?
代词, these, 这些, These are my new shoes.
代词, those, 那些, Those are the books I want to read.
代词, which, 哪一个, Which shirt do you prefer?
代词, what, 什么, What is your favorite color?
代词, who, 谁, Who is the girl standing over there?
代词, whom, 谁, To whom did you give the letter?
代词, whose, 谁的, Whose bag is this?
动词,be,是,She is a teacher.
动词,have,有,They have a dog.
动词,do,做,I can do my homework.
动词,say,说,He said hello to me.
动词,get,得到,I get good grades.
动词,make,制作,She can make a cake.
动词,go,去,We go to school every day.
动词,know,知道,Do you know the answer?
动词,take,拿,Please take a seat.
动词,see,看见,I see the beautiful sunset.
动词,come,来,He comes to visit us.
动词,think,想,I think it's a good idea.
动词,look,看,Look at the picture carefully.
动词,want,想要,I want a new book.
动词,give,给,Can you give me a hand?
动词,use,使用,We use computers at work.
动词,tell,告诉,She tells a funny story.
动词,ask,问,Can I ask a question?
动词,work,工作,He works hard every day.
动词,seem,似乎,It seems interesting.
动词,help,帮助,Can you help me with this?
动词,call,打电话,She calls her friend.
动词,try,尝试,Please try your best.
动词,need,需要,We need more time.
动词,ask,问,He asks for directions.
动词,become,变成,She wants to become a doctor.
动词,show,展示,They show their talent.
动词,keep,保持,Keep the door closed.
动词,turn,转动,Turn off the lights.
动词,start,开始,The game will start soon.
动词,write,写,He writes a letter to his friend.
be动词,is,是,This is my book.
be动词,am,是（第一人称单数）,I am a student.
be动词,are,是（第二人称单数和第一、二、三人称复数）,You are my friend.
be动词,was,是（过去时第一、二、三人称单数）,He was at the party yesterday.
be动词,were,是（过去时第一、二、三人称复数）,We were happy to see you.
be动词,being,是（现在分词形式）,She is being very helpful.
be动词,been,是（过去分词形式）,I have been to that museum before.
be动词,am not,不是（第一人称单数否定形式）,I am not ready for the test.
be动词,aren't,不是（第二人称单数和第一、二、三人称复数否定形式）,You aren't telling the truth.
be动词,wasn't,不是（过去时第一、二、三人称单数否定形式）,It wasn't your fault.
be动词,weren't,不是（过去时第一、二、三人称复数否定形式）,They weren't expecting visitors.
be动词,isn't,不是（第三人称单数否定形式）,She isn't coming to the party.
be动词,aren't,不是（第一、二、三人称复数否定形式）,We aren't ready to leave yet.
be动词,am not,不是（第一人称单数疑问形式）,Am I late for the meeting?
be动词,aren't,不是（第二人称单数和第一、二、三人称复数疑问形式）,Aren't you coming with us?
be动词,wasn't,不是（过去时第一、二、三人称单数疑问形式）,Wasn't he the one who called?
be动词,weren't,不是（过去时第一、二、三人称复数疑问形式）,Weren't you at the concert last night?
be动词,isn't,不是（第三人称单数疑问形式）,Isn't she a great singer?
be动词,aren't,不是（第一、二、三人称复数疑问形式）,Aren't they coming to the wedding?
be动词,isn't,不是（第三人称单数强调形式）,It isn't his fault.
be动词,aren't,不是（第一、二、三人称复数强调形式）,We aren't the ones making the decision.
be动词,am not,不是（第一人称单数强调形式）,I am not the one who broke the vase.
be动词,isn't,不是（第三人称单数强调形式）,She isn't the one who took your pen.
be动词,aren't,不是（第一、二、三人称复数强调形式）,They aren't the ones responsible for the mistake.
情态动词,can,能够,I can swim.
情态动词,could,能够（过去式）,She could speak French when she was younger.
情态动词,will,将会,I will help you with your homework.
情态动词,would,将会（过去式）,He said he would come to the party.
情态动词,shall,将会,Shall we go for a walk?
情态动词,should,应该,You should apologize for your behavior.
情态动词,may,可能,It may rain later.
情态动词,might,可能（过去式）,She thought she might be late.
情态动词,must,必须,You must finish your homework before going out.
情态动词,ought to,应该,You ought to be more careful.
情态动词,need to,需要,You need to study for the exam.
情态动词,have to,必须,I have to go to the dentist tomorrow.
情态动词,has to,必须（第三人称单数）,He has to finish the project by Friday.
情态动词,am able to,能够（第一人称单数）,I am able to solve this problem.
情态动词,are able to,能够（第二人称单数和第一、二、三人称复数）,We are able to meet the deadline.
情态动词,is able to,能够（第三人称单数）,She is able to speak three languages.
情态动词,was able to,能够（过去时第一、二、三人称单数）,He was able to find the lost keys.
情态动词,were able to,能够（过去时第一、二、三人称复数）,They were able to solve the puzzle.
情态动词,am not able to,不能够（第一人称单数否定形式）,I am not able to attend the meeting.
情态动词,aren't able to,不能够（第二人称单数和第一、二、三人称复数否定形式）,You aren't able to join us for dinner.
情态动词,isn't able to,不能够（第三人称单数否定形式）,She isn't able to come to the concert.
情态动词,wasn't able to,不能够（过去时第一、二、三人称单数否定形式）,He wasn't able to finish the race.
情态动词,weren't able to,不能够（过去时第一、二、三人称复数否定形式）,We weren't able to find a solution.
情态动词,am I able to,能够（第一人称单数疑问形式）,Am I able to join the club?
情态动词,are you able to,能够（第二人称单数疑问形式）,Are you able to come to the meeting?
情态动词,is she able to,能够（第三人称单数疑问形式）,Is she able to play the piano?
情态动词,are we able to,能够（第一人称复数疑问形式）,Are we able to complete the project on time?
情态动词,are they able to,能够（第三人称复数疑问形式）,Are they able to attend the conference?
形容词,good,好,She is a good student.
形容词,bad,坏,It was a bad day.
形容词,beautiful,美丽的,She wore a beautiful dress.
形容词,ugly,丑陋的,The old building is ugly.
形容词,happy,快乐的,They are a happy family.
形容词,sad,悲伤的,The movie had a sad ending.
形容词,funny,滑稽的,The comedian told a funny joke.
形容词,serious,认真的,She is a serious student.
形容词,smart,聪明的,He is a smart boy.
形容词,dumb,愚蠢的,That was a dumb mistake.
形容词,clever,聪明的,The clever fox outsmarted the hunter.
形容词,kind,善良的,She is a kind person.
形容词,cruel,残忍的,The cruel treatment of animals is wrong.
形容词,brave,勇敢的,The firefighter is a brave hero.
形容词,cowardly,胆小的,Hiding from a challenge is cowardly.
形容词,friendly,友好的,The neighbors are very friendly.
形容词,unfriendly,不友好的,The cat seemed unfriendly.
形容词,calm,冷静的,She remained calm during the storm.
